"notation","title","description","id"
"","Architektur und Design","","b4d"
"","Ausbildung","","x4s"
"","Berufe","","g5s"
"","Bildende Kunst","","s5v"
"","Darstellende Kunst","","e3b"
"","Dienstleistungen: Arztbesuch, Behörden, Bank u.ä.","","s4c"
"","Einkaufen, Kleidung, Konsum","","x3u"
"","elektronische Medien","","u4p"
"","Erziehung","","y7h"
"","Essen und Trinken","","b3d"
"","Familienalltag","","g5e"
"","Freizeit und Sport","","u3e"
"","Geografische Gegebenheiten","","c2b"
"","Geschichte, Philosophie, Religion","","f3a"
"","Globale Herausforderungen","","b9b"
"","Haustiere, Tiere","","u5d"
"","Identität","","a4h"
"","Kommunikation","","u6s"
"","Literatur","","u6d"
"","Menschenrechte, moralische Verantwortung","","z5t"
"","Musik","","q6q"
"","Natur, Wissenschaft und Technik","","f3s"
"","Politik und Wirtschaft","","u6t"
"","Presse, Rundfunk, Fernsehen","","r7f"
"","Regionale Identität","","r7x"
"","Reisen, Tourismus","","s7f"
"","Schulalltag","","g9u"
"","Schule und Unterricht","","d7u"
"","Sprache und Sprachenlernen","","p7d"
"","Verkehrsmittel","","e3a"
"","Wetter","","h9y"
"","Wohnen und Umwelt","","v6t"
"","Zwischenmenschliche Beziehungen: Liebe, Freundschaft, Familie","","v4y"